,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019-01-01,0,0,0,0,0,0,0,0.013736,1.784531,4.61846,9.436049,22.158584,32.707365,31.117773,33.917603,21.562571,6.545594,0.778164,2.168348,0.331316,0.0206,0.1196,0.0096,0.0002
2019-01-02,0,0,0,0,0,0,0,0.006684,1.672697,15.3316,32.859403,38.798227,38.11991,36.814437,22.233424,11.794504,7.111085,0.856213,1.384784,0.10352,0,0,0,0
2019-01-03,0,0,0,0.0026,0,0,0,0.397472,15.727589,57.826556,91.36954,111.193583,120.635417,119.230723,105.256728,71.604397,23.466641,2.08618,3.501112,3.934436,3.241008,1.832132,0.950844,0.267876
2019-01-04,0,0,0,0,0,0,0,0.106622,8.42121,23.29022,15.014986,18.624757,26.707133,25.913658,15.1795,6.713378,1.898601,0.407188,2.40104,0.362872,0,0,0,0
2019-01-05,0,0,0,0,0,0,0,0.06874,2.530525,15.310536,28.205257,55.613203,76.07064,91.907663,83.53742,61.77309,24.153969,2.326698,3.498172,4.507448,3.469436,1.655752,0.265932,0.00144
2019-01-06,0.001584,0,0,0,0,0,0,0.266186,13.888757,52.945885,91.194186,112.909847,122.834308,112.143588,98.554957,72.81619,20.583779,2.138577,3.490528,4.425152,4.318672,2.5984,0.885908,0.268456
2019-01-07,0.000792,0.000864,0,0,0,0,0,0.236258,14.224089,59.249199,92.839664,108.632204,111.650995,104.014074,77.841225,55.728384,22.907702,3.007215,3.494992,4.508272,4.3471,2.632416,0.845216,0.268164
2019-01-08,0.000864,0.000864,0,0,0,0,0,0.091352,7.471882,21.168657,42.935518,58.502619,75.201213,76.878671,71.196357,37.708097,13.869195,1.469179,3.584056,3.861364,3.148696,1.493312,0.218736,0.000792
2019-01-09,0.000792,0.000792,0,0,0,0,0,0.093508,7.635336,30.343824,58.642851,73.322983,74.673117,70.240376,46.629305,33.829595,16.161154,2.508367,3.813208,4.223536,3.365244,1.085256,0.00396,0.002448
2019-01-10,0.275424,0.69408,0.69216,0.384,0,0,0,0.056862,6.47636,24.139516,43.437216,84.097006,76.827027,56.212821,45.041062,23.407968,9.771578,2.266996,3.8423,3.733452,2.900756,1.058688,0.121896,0.000792
2019-01-11,0.000864,0,0,0,0,0,0,0.011408,2.838594,18.218352,34.009773,28.538448,30.536782,22.552801,14.116833,6.258866,3.063918,0.833278,2.61656,0.098884,0,0,0,0
2019-01-12,0,0,0,0,0,0,0,0.009504,2.142712,11.542554,27.675861,60.332354,100.493474,105.656383,99.43242,68.607707,25.962249,3.084175,3.795396,4.601176,4.225524,2.475944,0.79656,0.169596
2019-01-13,0.000576,0.000864,0,0,0,0,0,0.172666,4.603968,22.297586,44.922671,61.322966,88.621966,96.388883,83.368034,65.373428,27.463959,3.643386,3.796228,4.600572,4.262852,2.445964,0.77412,0.0981
2019-01-14,0.001584,0,0,0,0,0,0,0.480141,14.740821,56.195879,91.360893,108.021665,111.687067,105.214979,81.898833,51.271081,21.999969,3.704406,3.79516,5.165392,4.968964,3.30352,1.452884,0.2724
2019-01-15,0.010464,0.00288,0.000792,0,0,0,0,0.126574,8.837894,17.917532,31.097495,84.19477,116.501416,109.37247,89.169659,55.308959,17.066808,2.896962,3.759888,4.90896,4.700636,3.27136,1.417464,0.056904
2019-01-16,0.006552,0,0,0,0,0,0,0.033032,3.592644,23.938733,40.756114,40.47545,60.020355,64.262396,49.438688,41.098852,16.707484,2.318971,0.434012,1.081272,0.38824,0.3008,0,0
2019-01-17,0,0,0,0,0,0,0,0.126719,6.022526,28.563991,28.346741,42.253892,28.413576,56.607121,39.454285,36.520625,18.159215,3.03176,0.174224,0.84692,0.3742,0.3012,0,0
2019-01-18,0,0,0,0,0,0,0,0.448927,17.370407,64.594634,103.773523,124.513349,130.348679,126.065847,107.361593,82.108705,35.938558,4.743643,0.90103,1.916824,1.790808,0.99952,0.54048,0.02496
2019-01-19,0.00288,0,0,0,0,0,0,0.102068,3.125101,12.114713,16.396255,18.823899,15.665051,16.108638,2.62902,1.914518,1.329437,0.196354,0.007344,0.48588,0.0056,0,0,0
2019-01-20,0,0,0,0,0,0,0,0.102998,4.235772,12.481761,39.637124,72.600069,86.159941,89.039447,94.154339,80.722521,33.866294,4.048051,0.847344,1.919368,1.383144,0.5764,0,0
2019-01-21,0,0,0,0,0,0,0,0.222234,14.284445,56.99022,94.119729,111.627037,121.8061,114.171135,98.103304,62.282194,24.702022,3.506059,0.847532,1.917176,1.576968,0.99872,0.3504,0.01152
2019-01-22,0.0024,0,0,0,0,0,0,0.2351,8.425216,38.045163,72.045873,88.018593,98.950349,107.058193,102.495719,77.512108,33.981491,4.302513,0.847712,1.232144,0.8184,0.3416,0,0
2019-01-23,0,0,0,0,0,0,0,0.559732,17.688556,59.944146,97.683384,120.778545,130.135425,125.965945,108.221925,75.267282,34.00132,5.076001,0.847668,1.91748,1.77976,1.05876,0.38688,0.01344
2019-01-24,0,0,0,0,0,0,0,0.608025,21.285713,73.630831,110.594395,131.163667,139.128903,135.583182,121.127315,93.366456,46.634048,6.548294,0.849428,1.235888,1.088032,0.3662,0,0
2019-01-25,0,0,0,0,0,0,0,0.602709,19.402207,53.04204,56.438438,114.533531,116.234961,79.179942,58.613586,22.374711,6.329378,1.797784,0.847816,1.513768,0.83448,0.69312,0.13824,0
2019-01-26,0,0,0,0,0,0,0,0.633857,16.738665,38.990949,58.446352,90.733446,120.300376,118.957664,106.606575,80.60485,41.844464,6.146543,0.848164,1.389016,0.366392,0,0,0
2019-01-27,0,0,0,0,0,0,0,0.726828,23.595693,73.53318,106.796394,130.602277,139.238118,136.653605,123.141254,96.487055,51.603238,7.556789,0.849814,1.544368,1.369784,0.73136,0.53088,0.02496
2019-01-28,0.00768,0,0,0,0,0,0,0.348775,14.174149,33.437271,35.696405,22.54159,52.81454,78.658246,50.081005,40.298356,36.537081,7.691446,0.6047,0.68424,0.63648,0.00768,0,0
2019-01-29,0,0,0,0,0,0,0,0.814839,22.973349,71.689592,95.997988,108.315827,114.696682,107.076558,94.681334,65.489016,23.759151,4.912584,0.866312,0.814288,0.947904,0.7344,0.69216,0.67968
2019-01-30,0.07008,0,0,0,0,0,0,0.074894,4.386089,14.181058,25.815105,43.449667,44.030176,33.060153,19.815166,8.355205,3.723979,1.003822,0.252456,1.00504,0.50016,0,0,0
2019-01-31,0,0,0,0,0,0,0,0.014002,0.12061,1.114423,3.809168,7.388423,9.202707,9.837944,19.880614,12.654606,6.332236,4.071777,0.027898,0.20256,0,0,0,0
2019-02-01,0,0,0,0,0,0,0.00074,0.45327,13.653646,41.069188,61.684862,91.75287,88.474186,81.729764,66.290342,48.172319,27.188943,5.824957,0.724512,1.149728,0.768,0.168,0.0004,0
2019-02-02,0,0,0,0,0,0,0.00032,0.532509,12.917767,44.001885,89.407048,106.222272,99.874636,95.917616,59.579775,29.954272,16.354438,3.230586,0.84822,1.694312,1.05304,0.6924,0.51552,0.02304
2019-02-03,0.00096,0,0,0,0,0,0.00059,0.027316,1.235209,6.031232,11.810817,24.08871,39.715156,38.072668,20.731302,7.845921,7.690688,1.363283,0.000766,0.23344,0,0,0,0
2019-02-04,0,0,0,0,0,0,0.00058,1.25247,26.85745,77.563502,114.637713,137.847276,147.371142,144.427135,129.878128,102.527634,59.373417,12.222527,0.882216,1.212664,0.947928,0.0652,0.3552,0.69216
2019-02-05,0.69216,0.6912,0.16032,0,0,0,0.00048,1.214811,27.548798,76.733583,109.609476,126.350814,136.977437,134.137733,114.028923,71.523309,26.487668,6.111263,0.851682,1.226776,0.88316,0.0692,0.31584,0.69216
2019-02-06,0.6912,0.69216,0.15744,0,0,0,0.00044,0.419585,15.93405,64.858632,88.949071,85.028203,73.790229,58.786056,49.682729,43.319141,29.956077,7.895915,0.889444,1.48844,0.891936,0.68736,0.0912,0
2019-02-07,0,0,0,0,0,0,0.00066,0.018116,1.241051,6.258374,9.64711,8.784937,11.813253,19.655285,32.220891,19.979052,14.37373,9.419379,0.176772,0,0,0,0,0
2019-02-08,0,0,0,0,0,0,0.00067,0.048026,7.973222,19.794825,71.883757,137.136926,136.102146,137.416159,91.115171,57.181934,47.955015,10.190589,0.87778,1.893896,1.411,0.2316,0,0
2019-02-09,0,0,0,0,0,0,0.00044,0.082061,4.311897,18.875192,25.822758,56.191445,64.972004,48.690819,37.920393,33.554038,35.210328,9.583892,0.512953,0.92696,0.41472,0.00864,0.00864,0.0096
2019-02-10,0.00768,0.0096,0.00768,0,0,0,0.00044,0.50706,17.295725,41.554168,43.05323,92.836094,45.806479,25.029124,21.352933,18.372366,5.517056,1.097397,0.632376,0.79192,0.58272,0.01344,0.00768,0.00768
2019-02-11,0.00864,0.00864,0.00768,0.00096,0,0,0.0008,0.08828,3.19879,11.456476,21.261967,35.337629,59.714743,63.29157,46.3715,44.29775,26.284203,5.766531,0.056071,0.72228,0.2968,0.00864,0.0096,0.00864
2019-02-12,0.00864,0.00384,0,0,0,0,0.0011,2.045973,33.792845,83.724374,117.986048,139.313339,147.020478,141.599044,116.607077,78.481004,17.993103,4.202049,0.850667,1.892416,1.673128,1.008,0.504,0.02112
2019-02-13,0.00672,0,0,0,0,0,0.00066,1.952527,29.974756,76.788824,114.475551,138.630842,146.138816,142.699253,130.173994,99.798795,59.992524,15.772519,1.032267,1.212664,1.032688,0.9208,0.6934,0.69216
2019-02-14,0.63072,0.03936,0.00864,0,0,0,0.00093,0.711391,6.84477,29.371775,33.728493,61.380884,56.475633,42.367254,53.068478,83.113788,59.401597,16.046063,1.126207,1.767688,0.9876,0.6912,0.1584,0.00768
2019-02-15,0,0,0,0,0,0,0.00058,0.094396,1.007818,5.419192,11.688264,14.997489,30.780106,20.000252,13.019198,9.639484,6.525732,2.03345,0.128422,0.70908,0.04224,0.024,0.00864,0
2019-02-16,0,0,0,0,0,0,0.00082,0.426198,15.816267,35.358808,41.605316,42.994459,43.75994,43.707159,51.669202,54.003309,35.868612,13.382939,0.3455,0.5952,0.36136,0.36,0.03324,0.0096
2019-02-17,0.00768,0.00192,0,0,0,0,0.00334,1.662405,15.659843,54.863044,82.569512,105.286029,120.617621,116.87971,112.604492,92.436518,51.895665,13.396631,1.031718,1.46488,1.265776,0.59404,0.02972,0
2019-02-18,0,0,0,0,0,0,0.00352,0.847349,9.266763,23.683818,45.729928,35.410484,26.13879,19.812096,14.666767,8.410275,5.843211,2.698299,0.151943,1.16652,0.21104,0.024,0.02016,0
2019-02-19,0,0,0,0,0,0,0.00416,0.077746,1.948031,9.62251,55.468204,55.746087,42.663534,33.324804,49.682793,40.646369,32.050608,8.187952,0.572729,1.055672,0.38952,0.02304,0.00576,0
2019-02-20,0,0,0,0,0,0,0.00312,1.680094,18.302615,52.525263,73.705246,86.120184,70.818476,86.682682,91.982118,75.22073,40.914396,7.080407,0.981604,1.88996,1.758264,1.253,0.26148,0.01056
2019-02-21,0.00192,0,0,0,0,0,0.0058,1.763529,25.551282,76.946815,106.754282,129.884478,127.777003,118.759598,94.567331,67.436202,30.123196,9.99479,1.162491,1.955896,1.696416,1.0528,0.54736,0.024
2019-02-22,0.00864,0,0,0,0,0,0.005792,0.960253,3.624425,16.902063,50.488678,43.943106,34.905802,20.398027,21.696075,9.650558,5.671073,2.62887,0.651263,1.1242,0.69836,0.10752,0.00288,0
2019-02-23,0,0,0,0,0,0,0.008,4.600286,38.290645,79.379152,119.113354,138.507203,138.900214,120.85593,88.743784,58.756706,25.212379,9.014927,1.166795,1.953624,1.721792,1.058,0.5702,0.024
2019-02-24,0.00672,0,0,0,0,0,0.0089,3.570816,37.908405,84.366374,107.459909,127.004558,146.248563,139.046288,127.785722,99.617803,65.995183,25.353018,1.633217,1.953608,1.699864,1.05224,0.55664,0.02208
2019-02-25,0.00672,0,0,0,0,0,0.012878,4.957468,36.258305,70.040435,112.942831,145.923492,152.336113,146.783651,129.647174,98.701473,49.888533,21.158161,1.948091,2.34728,2.09812,1.076744,0.54628,0.02208
2019-02-26,0.00576,0,0.00096,0,0,0,0.011936,5.197125,39.524524,87.214993,116.454243,137.590598,149.441772,149.611752,136.484098,108.429292,69.211112,20.022957,2.028327,2.346496,2.102784,1.44424,0.936656,0.312096
2019-02-27,0.00672,0,0,0,0,0,0.009998,1.071786,6.498841,11.800419,11.728033,12.824472,19.30073,12.979777,8.224217,5.799886,1.838211,0.594089,0.027543,0.6488,0.03648,0.0192,0,0
2019-02-28,0,0,0,0,0,0,0.010168,0.974452,7.601961,22.077523,37.424349,59.500556,97.935572,101.936137,87.530501,74.574713,56.891763,20.577863,1.667759,1.950144,1.413952,0.71,0.51936,0.02208
2019-03-01,0.00576,0,0,0,0,0,0.016296,4.777318,25.601736,74.809735,119.382861,144.200787,151.166413,138.995781,113.521749,76.814131,40.25657,14.511083,1.564905,1.955208,1.7096,1.054,0.58744,0.02592
2019-03-02,0.0048,0,0,0,0,0,0.012522,1.345671,8.101915,17.484415,24.581132,18.152483,25.267396,25.040229,21.708031,12.039019,6.188352,4.304071,0.116851,0.73276,0.15744,0.02304,0.01152,0
2019-03-03,0,0,0,0,0,0,0.012508,0.803714,6.696032,16.072942,36.167994,33.8713,27.573117,17.597889,13.52043,9.177156,4.23601,1.362989,0.373928,0.86448,0.4512,0.024,0.02016,0
2019-03-04,0,0,0,0,0,0,0.01381,1.629182,8.997259,21.657362,57.96778,103.918288,125.745028,122.197926,106.747646,82.436044,51.863596,18.510487,1.877734,1.954464,1.706768,1.0618,0.54768,0.0192
2019-03-05,0,0,0,0,0,0,0.021648,7.743271,44.226854,83.360779,98.044457,86.842234,62.194945,41.108791,35.745937,20.635847,13.663658,5.523985,2.57357,2.917028,1.995276,0.39968,0.00768,0.00864
2019-03-06,0.00864,0.00864,0.00768,0.00768,0.00672,0,0.01402,0.369349,2.603756,11.814921,18.527824,20.800835,39.413424,91.272617,106.459264,97.217162,69.491977,25.747152,3.946506,3.611676,2.571832,0.740664,0.38592,0.00672
2019-03-07,0,0,0,0,0,0,0.024793,7.570826,40.466986,80.945228,111.263802,134.677592,136.451664,138.259416,138.296159,117.680837,77.03863,32.139252,4.409314,3.612124,3.054928,1.13252,0.57508,0.02304
2019-03-08,0.00096,0,0,0,0,0,0.048915,12.009746,57.888678,102.319017,123.981978,140.140389,152.035734,154.258478,139.764161,114.507385,75.970314,31.375368,4.987246,4.88718,3.140468,1.111612,0.58584,0.02496
2019-03-09,0.00096,0,0,0,0,0,0.069207,9.25033,26.725868,54.130313,67.449013,87.015427,55.740909,31.454395,23.344992,8.73953,6.563402,6.661095,3.629638,1.579292,0.901,0.36384,0.00864,0.00768
2019-03-10,0.00864,0.00768,0.00864,0.00768,0.00672,0.00096,0.018462,0.838692,6.076262,10.581152,13.352369,11.434978,13.370435,12.257373,13.690499,17.268143,19.056563,8.906831,0.749672,0.56904,0.024,0.02112,0,0
2019-03-11,0,0,0,0,0,0,0.076778,11.1711,46.599845,92.2947,117.430968,132.47994,121.679734,79.52302,57.801282,67.118197,32.531712,11.159954,4.157412,4.490456,2.272156,0.92944,0.54624,0.02112
2019-03-12,0.00096,0,0,0,0,0,0.092873,11.995997,50.810788,91.85214,119.710409,135.29063,131.510731,134.914306,130.985386,101.98126,59.561872,25.805358,5.645281,4.786756,2.71318,1.110216,0.57944,0.02496
2019-03-13,0,0,0,0,0.00096,0,0.106438,14.170187,60.301027,105.918041,133.988969,153.43943,162.39293,162.610628,148.838069,121.134647,81.590238,35.614613,5.887989,4.814636,2.871056,1.129452,0.58704,0.02496
2019-03-14,0,0,0,0,0,0,0.06435,6.555874,15.321046,23.228859,34.63785,50.754279,79.256015,84.561204,124.242994,114.222909,75.596257,33.276738,6.528468,4.790972,2.629732,0.953144,0.55968,0.02208
2019-03-15,0,0,0,0,0,0,0.050127,9.151033,40.513457,72.246148,84.996729,102.669635,125.105008,122.161181,113.516236,105.759564,67.835358,24.23433,5.715089,4.778272,2.462092,1.096808,0.42588,0.00576
2019-03-16,0,0,0,0,0,0,0.097727,10.137245,40.145586,82.49665,126.973079,145.874464,153.860714,153.752643,140.426297,113.95359,74.004083,31.676485,6.333401,4.8006,2.79618,1.121556,0.6182,0.02208
2019-03-17,0,0,0,0,0,0,0.13182,11.572017,53.09318,100.974303,131.429244,151.447383,160.848008,162.480058,148.958135,122.185449,79.773965,34.234664,6.746315,4.81486,2.874472,1.130008,0.63476,0.02496
2019-03-18,0.00864,0.00864,0.00864,0.00864,0.00864,0.00288,0.197503,11.141157,28.628103,59.232066,71.127385,67.862305,32.035298,31.627106,17.801675,13.050304,5.255617,6.065381,2.453649,1.093,0.62736,0.024,0.01728,0
2019-03-19,0,0,0,0,0,0,0.308184,15.688636,55.965398,99.112192,126.626319,142.901619,152.905835,152.344566,136.845006,108.276204,69.433846,30.014958,6.631744,4.79728,2.799488,1.120024,0.60844,0.01824
2019-03-20,0.00864,0.00864,0.00864,0.00864,0.00768,0.00192,0.483226,12.799395,30.369813,35.833501,39.386342,76.689981,25.75588,11.095499,14.42017,25.460034,9.634084,6.589313,2.013473,1.0508,0.29812,0.024,0.0096,0
2019-03-21,0,0,0,0,0,0,0.252899,10.701188,42.852569,71.125255,68.090732,79.648512,77.032711,74.311092,57.631631,40.489535,20.074518,8.607556,2.62126,1.101736,0.3774,0.36704,0.0142,0
2019-03-22,0,0,0,0,0,0,0.074496,4.672713,33.135634,89.513967,129.408014,147.671996,161.346846,167.718462,152.565271,129.984851,84.555625,39.698799,8.476559,5.388756,2.983628,1.15072,0.60844,0.01824
2019-03-23,0.00768,0.00864,0.00768,0.00768,0.00768,0.00288,0.150558,10.73009,39.697444,88.340397,141.21303,159.043335,164.013942,160.994583,127.900791,58.940965,31.791993,16.650925,7.413231,5.536824,3.048764,1.10046,0.63064,0.02112
2019-03-24,0.00768,0.00864,0.00768,0.00768,0.0048,0,0.701428,21.122081,69.979541,116.315736,143.766699,161.661921,168.472489,167.635278,149.227783,112.731922,70.114335,30.734931,7.392742,5.230228,2.806008,0.775156,0.62592,0.02592
2019-03-25,0.00768,0.00864,0.00864,0.00768,0.00096,0,0.163811,4.29084,8.061482,22.891313,44.192652,45.173555,44.910349,37.420156,42.012764,39.200577,28.341482,24.51721,5.711836,1.078824,0.71728,0.05952,0.02304,0.00576
2019-03-26,0,0,0,0,0,0,0.612472,16.324559,53.256306,93.399957,120.78265,142.978235,152.192659,152.135725,138.484971,107.09348,67.445282,32.306952,7.669273,4.79356,2.758844,1.118944,0.646,0.02688
2019-03-27,0.00864,0.00768,0.00864,0.00768,0.00096,0,0.866244,19.243683,60.61047,100.019705,127.422068,148.3123,157.423709,157.748206,141.786331,111.313967,69.944598,27.459358,6.870574,4.73132,2.670632,1.111548,0.65752,0.0288
2019-03-28,0.00768,0.00864,0.00864,0.00768,0.00096,0,0.307384,8.126989,20.735963,66.177618,84.203384,122.768408,142.178047,134.370666,112.077954,67.72372,37.253399,12.439765,4.560658,4.641512,2.417052,1.074564,0.65704,0.0288
2019-03-29,0.00864,0.00768,0.00864,0.00768,0.00096,0,0.839961,16.659778,53.197852,92.171869,105.554669,130.939511,133.821042,129.644888,109.895387,98.328756,71.366144,32.647041,7.401458,4.805296,2.8453,1.1367,0.6562,0.03168
2019-03-30,0.00768,0.00864,0.00864,0.00768,0.00096,0,0.997377,15.693554,43.39961,79.698703,85.018594,124.745119,138.357276,148.609145,116.277135,66.066415,46.138055,29.463904,7.834971,4.792872,2.728212,1.113364,0.6478,0.02784
2019-03-31,0.00864,0.00864,0.00768,0.00864,0.00096,0,0.661679,21.256363,66.186496,89.673839,137.528313,148.846554,154.21865,150.697709,130.561855,103.999638,72.293555,33.913472,7.945009,4.80734,2.869792,0.509016,0.03664,0.00576
2019-04-01,0,0,0,0,0,0.00132,1.403401,25.120508,73.21367,116.17042,141.315871,156.917666,164.18341,163.721806,145.842003,109.182734,70.820863,33.191368,8.580253,4.815936,2.878576,1.142632,0.64928,0.02976
2019-04-02,0.00768,0.00864,0.00864,0.00768,0.0048,0.00184,1.942304,19.216808,55.94292,99.975909,126.505789,141.61212,155.927448,158.38466,146.269374,124.451518,81.824955,34.100047,9.071706,4.80566,2.8169,1.132912,0.65768,0.02976
2019-04-03,0.00864,0.00864,0.00864,0.00768,0.00192,0.0028,1.83847,25.387518,72.278394,116.595065,142.263128,160.867386,168.578812,169.150548,154.841294,128.69892,89.700718,42.999191,9.245055,4.839416,3.038372,1.160524,0.6568,0.02784
2019-04-04,0.00864,0.00864,0.00768,0.00768,0.00192,0.00346,2.01479,27.535057,72.791564,115.941773,137.721842,146.994141,138.063682,136.057622,132.866646,94.430535,64.366047,31.715377,7.867423,4.94302,3.623736,1.783292,0.805344,0.02688
2019-04-05,0.00768,0.00864,0.00864,0.00768,0.00192,0.00359,1.146343,21.917292,61.707955,99.807891,129.640289,139.354314,156.07284,152.403404,136.616889,103.746365,59.442762,30.499227,8.456904,5.001244,4.618076,2.759048,1.004796,0.0288
2019-04-06,0.00768,0.00864,0.00768,0.00864,0.00192,0.00201,2.03164,20.658554,53.9665,94.684574,122.247721,139.979144,148.985387,142.648649,133.849396,109.070912,72.606931,33.546437,8.554574,4.971472,4.724812,3.257976,1.323124,0.03168
2019-04-07,0.00768,0.00864,0.00864,0.00768,0.00096,0.00182,1.934461,21.43529,56.40923,91.892765,116.003899,133.964411,141.17703,135.857146,98.567678,26.316052,6.486782,17.108528,7.68596,4.97857,4.141276,2.381252,0.929176,0.03168
2019-04-08,0.00864,0.00864,0.00768,0.00864,0.00096,0.00284,2.368391,23.931573,68.088096,111.06207,133.846087,147.363245,149.027965,140.799351,132.082127,109.103418,71.518941,32.982955,9.454443,4.715704,3.927272,2.427736,1.192556,0.03072
2019-04-09,0.00864,0.00768,0.00864,0.00768,0.00192,0.00316,1.47467,19.20231,55.581334,57.061393,45.663929,70.218618,68.24156,37.381522,39.083962,32.588252,14.076454,8.022902,4.211999,4.3099,2.39644,0.340152,0.09792,0.00672
2019-04-10,0.00768,0.00672,0.00672,0.00192,0,0.0036,0.503246,5.148973,12.214963,28.53582,38.814511,42.377519,31.355997,30.244876,26.330108,19.225523,11.573233,8.029386,2.249615,1.069607,0.34556,0.05288,0,0
2019-04-11,0,0,0,0,0,0.00509,1.187944,15.251675,32.606124,43.339235,38.864034,55.095929,67.42775,66.730433,26.217546,18.562875,14.451308,12.599752,5.02668,2.731108,0.97572,0.42216,0.0258,0.02112
2019-04-12,0,0,0,0,0,0.00656,3.35463,29.828803,76.14403,118.474027,142.365354,161.927584,167.45882,165.412648,151.991239,124.226304,86.046885,41.200649,10.064505,4.748372,4.167952,2.9325,1.440272,0.04008
2019-04-13,0.00864,0.00768,0.00864,0.00864,0.00192,0.007624,3.047296,25.139696,69.857178,111.4688,117.225179,119.725133,112.973724,74.006757,104.549753,113.292652,80.508418,37.119702,9.95834,4.98498,4.567052,3.154496,1.227468,0.02496
2019-04-14,0.00864,0.00864,0.00768,0.00864,0.00096,0.006658,1.020396,10.997294,39.385541,50.790022,50.975101,68.914222,49.59382,76.109776,57.258919,33.86632,38.256705,24.845199,11.137566,4.459767,3.10404,0.340124,0.0744,0.00864
2019-04-15,0,0,0,0,0,0.009656,3.557187,34.259082,83.985136,126.126145,149.950327,166.406748,171.301284,167.895345,154.467975,122.946564,81.234478,37.358958,10.100718,4.996343,4.687808,3.062996,1.306488,0.034296
2019-04-16,0.00864,0.00864,0.00864,0.00768,0.00192,0.00906,3.223124,27.577237,72.223852,90.608196,128.289843,134.546724,143.220251,131.085678,81.408466,51.129012,22.769983,11.29552,5.231612,5.000648,4.626044,2.602848,0.932468,0.02496
