,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011674,0.955419,3.220711,5.683003,7.085325,7.310385000000001,6.836908,5.566155,3.2456840000000002,1.085429,0.047339,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005219,0.719252,2.858317,5.183488,6.471106,6.731969,6.3996,5.607069999999999,3.523685,1.271679,0.053779999999999994,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052179999999999995,0.526153,2.151332,3.386804,3.852587,4.05903,3.396007,2.805011,1.9160009999999998,0.711865,0.028916000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001648,0.540393,2.686755,5.535862,7.859980999999999,8.391328999999999,8.236687,7.2525699999999995,4.679442,1.8447790000000002,0.070967,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011793000000000001,1.15527,4.01158,7.122757000000001,8.285577,8.457214,8.200375,7.3565,4.515432,1.67303,0.073875,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007809999999999999,0.90236,2.9313689999999997,4.9379349999999995,6.057077,6.71207,6.426952,5.606179,3.8066139999999997,1.398776,0.098692,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005696,0.8549979999999999,3.1747419999999997,5.395507,4.515452,2.8081560000000003,2.293223,1.7660509999999998,1.142044,0.277538,0.008462,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000328,0.031843,0.095861,0.185912,0.47024799999999994,0.672412,0.5445220000000001,0.382642,0.137902,0.019302,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080728,0.812405,1.4926629999999999,1.9257090000000001,1.838108,1.953657,1.8512849999999998,1.179603,0.38503699999999996,0.016063,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192998,1.825818,3.8721,3.175682,4.330255,3.8694309999999996,3.175056,1.260679,0.589137,0.042216000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025559999999999997,0.728051,3.022141,5.901324,6.958203999999999,6.123536,5.343136,5.436536,2.966741,1.139941,0.069342,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.306769,1.185009,2.236322,3.0001830000000003,4.697424,4.620503,2.661068,1.525984,0.39570900000000003,0.011899,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002843,0.8230540000000001,2.416964,4.307542,6.899589,8.295380999999999,6.958311999999999,5.489041,5.035418,2.106003,0.15325999999999998,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017239999999999998,1.069365,4.041709,6.806291000000001,7.331410000000001,7.9735380000000005,7.462588,7.496739999999999,4.561989,1.705543,0.103024,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032240000000000003,0.45892299999999997,2.4677119999999997,4.153561,5.072578,6.960663,6.625686,5.637897,3.670943,1.551384,0.10411400000000001,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008316,0.578116,2.703744,6.008248,6.649363,5.474552,4.795119000000001,5.304197,4.346005,1.625615,0.098396,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007717,0.836759,3.275002,4.860342,6.316006,6.464472,5.9188730000000005,5.348507,4.241891000000001,1.6508200000000002,0.131418,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000396,0.329191,0.778904,2.502741,2.755474,2.119318,1.6242,1.562567,0.9484889999999999,0.34366399999999997,0.037344,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016046,1.408775,4.371619,7.084872,8.375243,8.2153,7.476356,5.984227,3.7003269999999997,1.8859110000000001,0.20296,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290243,0.824109,1.447746,1.206456,2.8645810000000003,4.579483,4.631991999999999,2.171902,0.477083,0.011631,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000156,0.12828299999999998,1.11566,2.2141919999999997,2.510204,2.8478689999999998,2.5881,1.7373439999999998,1.479109,0.5363100000000001,0.07948200000000001,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.12461099999999999,0.601228,1.8238729999999999,4.840902,6.669528,6.483462,5.974186,4.066919,1.250923,0.112303,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017307,0.986916,3.881653,6.372605999999999,4.746085,5.127351999999999,5.634264,5.577811,4.117393,2.046125,0.252807,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01037,1.020349,4.000908,6.2441379999999995,6.764213000000001,7.576594999999999,6.827275,6.6573910000000005,5.288226,2.167811,0.331187,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000252,0.12928,0.7096779999999999,1.288329,2.821913,3.1945509999999997,5.492478,4.487003,2.944634,0.940961,0.071716,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013838999999999999,0.8473379999999999,4.02356,7.653747,9.09613,9.478742,9.406179,8.482828999999999,6.552167,3.334433,0.480525,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027604000000000004,1.57641,4.824346,6.5540910000000006,7.1142199999999995,8.359313,7.5790809999999995,5.83364,4.456828,2.15184,0.358998,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001376,0.399564,1.298098,1.642,2.0472189999999997,2.682673,2.616623,3.079532,1.629017,1.183306,0.307558,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022688999999999997,1.673216,5.043794999999999,7.3583289999999995,8.463242999999999,9.207558,8.421839,6.240399,3.7498379999999996,2.15138,0.308101,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104896,0.8847299999999999,2.016728,2.412804,2.113325,2.7754689999999997,2.459262,2.139205,0.976775,0.066246,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033513,1.302676,4.4528300000000005,6.806836,8.161919000000001,8.750467,8.48333,7.361214,5.392425,2.27342,0.327972,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004628,0.75379,2.465399,2.207202,2.827051,4.539864,2.441023,0.40479499999999996,0.203763,0.20613299999999998,0.042074,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040880000000000005,0.261994,1.7079849999999999,2.515148,3.3126309999999997,5.110873000000001,5.751793,3.811095,1.633992,0.46541800000000005,0.043773,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059689999999999995,0.44197700000000006,2.5031779999999997,5.563883000000001,7.121511999999999,7.89962,7.4833289999999995,7.502959,5.923826,3.010576,0.503842,1.6e-05,0.0,0.0,0.0,0.0,0.0
2014-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002076,0.365504,1.522371,3.704932,5.0937269999999994,5.827503,6.701585000000001,5.918332,4.326871,2.138834,0.379652,2.4e-05,0.0,0.0,0.0,0.0,0.0
2014-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06589500000000001,1.046933,2.911918,3.229905,2.526202,2.3321009999999998,2.3206830000000003,1.7528299999999999,1.121335,0.561613,0.29133600000000004,0.000152,0.0,0.0,0.0,0.0,0.0
2014-02-06,0.0,8e-05,0.0,0.0,0.0,0.0,8e-05,0.0,0.010152,0.079688,0.277127,0.530329,0.519867,0.8410790000000001,0.5542699999999999,0.28205,0.221144,0.032327999999999996,0.0,0.0,0.0,0.0,8e-05,0.0
