,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019-01-01,96.706497,103.285332,115.944574,135.796374,171.440233,179.642578,147.319776,122.086944,102.658697,105.437835,115.037047,127.813565,137.34251,154.201486,179.106745,191.141671,197.063203,193.291427,194.661887,200.905587,195.035587,161.046908,151.745607,135.121157
2019-01-02,139.302635,151.736914,145.626508,144.406755,128.305581,122.332631,119.912626,107.188586,103.460519,101.923561,114.312422,114.717469,114.392326,141.968791,137.972643,125.790165,126.142592,143.599346,158.285151,155.805749,146.615981,117.461986,86.707648,82.580529
2019-01-03,92.340052,96.197794,120.67176,121.666919,136.310554,109.043051,117.154005,131.330522,137.307085,146.620112,146.820989,126.621879,123.348742,107.753607,61.782427,44.765024,43.943676,24.528523,44.144358,63.937494,49.991393,36.290528,25.411523,23.81128
2019-01-04,19.318872,11.674962,6.934168,5.767672,6.016076,2.673404,5.276681,12.680214,2.543173,0.545488,2.546811,2.20284,17.243392,12.412582,20.511444,42.502116,53.428128,59.8462,57.829424,45.869457,45.426262,38.650172,66.257529,68.977596
2019-01-05,81.602644,103.759492,131.362521,133.286605,138.251172,130.972582,128.93127,130.808,141.259652,124.793579,120.529901,116.965546,132.806996,152.321515,176.213942,161.030092,153.750789,122.234641,122.881031,155.626268,154.735495,169.973001,151.32885,129.888466
2019-01-06,136.994805,175.215166,192.44162,180.400822,155.087898,148.451975,164.030875,164.96221,166.481484,148.702088,138.33062,159.441282,174.796744,163.47993,176.227766,176.731266,175.176722,161.490259,155.44533,153.907361,146.317425,111.095856,115.137381,92.746617
2019-01-07,80.232591,85.929737,95.772829,106.109779,115.984608,111.084274,110.064268,117.980498,116.101713,121.676449,130.880273,135.023381,128.80906,100.684953,109.026801,111.131865,136.778262,119.119123,133.378367,135.481787,122.946351,120.071797,121.403448,121.311041
2019-01-08,119.65615,113.404615,153.063199,181.451643,191.774213,188.363597,180.407784,156.959449,136.975958,139.3002,167.644012,167.535678,146.910941,175.77602,196.209487,199.977078,177.706504,207.364759,218.727702,218.56435,210.587489,195.919954,177.007332,168.111568
2019-01-09,185.030828,197.938267,212.581985,220.668161,218.11806,195.137637,156.911015,123.409369,113.220027,62.174639,49.751215,31.386383,24.141849,27.216826,18.038585,10.103783,4.426177,4.279447,15.225327,21.238689,18.334492,6.823692,4.612443,4.095165
2019-01-10,2.680212,3.890888,9.083027,24.795572,29.965612,35.619931,35.080416,30.332145,62.571025,89.320377,97.435369,116.200089,136.884877,136.23978,148.86624,124.791977,104.706272,120.582373,141.072697,129.581071,100.732331,75.947724,88.151612,55.161166
2019-01-11,79.064462,101.310999,86.89208,66.105163,75.217385,82.56938,98.565696,122.472674,132.265417,113.239883,80.396383,28.876173,21.769915,7.003965,2.670795,2.678654,7.436563,3.495184,12.091991,13.741651,10.547389,1.438548,0.063153,0.208757
2019-01-12,0.207105,0.43002,4.3923,15.095471,23.216104,28.508909,36.644181,44.479229,58.150628,81.417005,87.572449,65.721895,110.734042,104.369778,117.675879,109.305475,99.226888,82.570926,95.863623,93.442831,95.596823,66.407267,57.6967,75.827748
2019-01-13,62.889739,56.202271,47.294416,42.393678,46.034544,50.411658,55.117065,66.237313,97.379523,101.433047,82.301672,59.980479,76.30129,102.637705,134.860386,160.141812,144.455443,125.789842,125.861884,134.543943,141.754204,121.302367,84.635478,105.168165
2019-01-14,113.097511,96.510251,100.933096,104.267859,94.958147,85.137065,92.94475,80.784984,93.252445,65.396265,68.874948,76.12592,72.733451,81.684708,57.469563,54.304162,52.843835,41.931385,57.063142,78.974855,72.281165,55.89533,39.507483,44.534997
2019-01-15,49.101979,67.380836,77.245878,89.79408,92.69144,121.110395,104.862222,93.831544,85.292124,83.20025,102.782488,132.116376,116.013946,152.215981,174.061513,190.094574,199.090636,172.371957,180.802974,213.683252,207.064725,206.317399,201.330651,215.647918
2019-01-16,216.591176,214.727331,191.628545,188.797323,183.186328,166.068749,149.857134,169.548814,179.931857,163.164939,151.25763,155.450424,134.69293,157.875218,179.061335,171.415284,159.058901,159.152791,154.458145,142.450416,113.449861,117.873956,103.105012,87.720345
2019-01-17,104.532361,82.598117,96.490737,117.813113,97.343078,98.254205,89.383165,95.890145,90.334052,95.283098,94.100998,104.713702,124.906429,144.509277,145.04464,155.539144,178.040071,161.971417,164.838109,182.06229,152.790595,129.352326,123.680315,132.964085
2019-01-18,124.707752,91.313599,102.147044,92.476432,58.961012,30.35598,31.348493,41.489692,47.175728,52.534798,26.074202,18.121409,16.593193,18.732091,17.925625,12.456668,10.706695,9.019308,12.172091,9.133376,13.595437,9.039162,6.366492,2.595778
2019-01-19,2.310984,1.194094,0.024316,0,2.199429,9.456105,6.019744,8.851347,8.308345,18.972959,8.441423,5.962139,4.408962,4.684952,13.71023,31.930777,33.19781,41.214614,55.368551,59.533224,49.839906,79.3769,83.355255,77.771623
2019-01-20,79.346384,114.501865,137.440983,160.803731,161.465648,185.373401,189.343515,189.294408,171.929069,178.165968,209.201497,221.441254,223.732974,223.061209,216.366176,208.875138,199.995114,194.516047,198.476692,201.672247,208.885425,206.432387,195.362604,188.784918
2019-01-21,191.399683,189.678222,187.509441,177.503997,167.993844,185.996085,163.829348,127.182954,106.589006,141.562052,149.974211,147.083654,148.467083,165.160215,171.248116,162.685981,149.929146,134.261661,118.9365,115.738863,115.795984,102.916984,85.151555,90.088153
2019-01-22,108.990285,114.271428,118.809752,103.730933,75.534423,65.829436,75.21701,63.411206,56.379717,58.500265,62.800634,65.946099,77.23272,74.613817,68.475349,88.122297,110.681266,101.939481,84.662521,87.976677,83.720295,102.581393,91.589532,80.222719
2019-01-23,71.181223,50.671738,54.739531,64.922778,54.55845,56.698188,52.058351,73.602755,73.66504,66.805903,103.381428,88.109344,85.966598,99.411841,116.650965,131.987196,138.390713,133.733732,124.020892,120.439762,109.821778,109.630832,119.954102,122.721362
2019-01-24,124.640487,124.164575,133.051075,142.593962,154.36648,164.053271,170.261226,169.435093,158.203714,136.39375,139.480323,135.178438,103.308498,70.016926,43.681064,49.138464,82.220764,53.10231,73.465639,92.106859,76.09675,53.939919,54.345182,79.202859
2019-01-25,56.734148,72.075585,71.482992,67.995165,67.142808,51.869819,65.386974,62.877542,70.183477,52.518163,69.593434,106.598566,134.142233,135.133216,152.004788,151.64612,187.172474,226.302603,227.419942,219.432849,213.50362,206.572451,199.832269,199.974583
2019-01-26,201.171193,205.122944,205.540038,195.2867,197.322224,204.638464,206.171261,199.697203,214.075066,216.837281,213.473813,208.986745,204.670845,208.345831,213.469551,214.763212,208.899464,204.125121,205.365636,180.579036,175.417359,157.891412,138.113666,139.585247
2019-01-27,145.587479,128.319867,127.999969,111.841669,111.913913,87.528873,75.428146,71.983641,80.780158,81.20224,72.647869,44.496813,59.082854,55.596058,53.520033,42.580509,45.977244,54.33658,35.489425,33.060898,49.594972,58.909488,62.298207,47.104351
2019-01-28,43.265335,29.381824,29.867368,45.281334,51.874916,54.287394,57.497595,69.106803,80.87373,95.075721,102.077343,130.957539,137.729361,161.763619,174.960132,185.41759,194.713112,209.285467,204.748365,188.221829,176.076832,186.133491,166.471845,141.544249
2019-01-29,123.304503,101.075725,119.890622,110.96669,114.733404,128.89663,98.158705,82.712388,44.517404,23.102249,10.37699,7.494721,4.207596,3.440288,7.338107,4.01828,3.40152,5.707939,4.978246,4.897469,4.793073,7.858911,5.415177,7.854162
2019-01-30,7.465506,3.617996,5.382293,20.087593,23.731536,11.575112,8.92758,6.016876,1.033084,0.364311,0.126256,0.071148,1.16898,5.834207,8.905871,7.550555,6.69113,9.506646,18.664685,22.606276,32.833855,63.316213,66.115751,49.929345
