,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sum
2019-01-01,292.6497718,312.558409,350.8673582,410.9421714,518.8063535,543.6279991,445.8138819,369.4551805,310.6621084,319.0722372,348.1210322,386.7848779,415.6210333,466.6390687,542.0064802,578.4261465,596.3456767,584.9316619,589.0788994,607.9733629,590.209777,487.354442,459.2071747,408.8988537,10936.05396
2019-01-02,421.5526941,459.1808683,440.6897743,436.998601,388.2737993,370.1986698,362.8753365,324.3702978,313.0885537,308.4374659,345.9281977,347.1539366,346.1700004,429.6209208,417.5279195,380.6617366,381.7282387,434.5552486,478.9969109,471.4938325,443.6840824,355.4592966,262.3916096,249.9022684,9170.94026
2019-01-03,279.4361908,291.1103528,365.1726009,368.1841157,412.4981647,329.9822141,354.5272954,397.4277684,415.5138315,443.6965835,444.3044704,383.17864,373.2735889,326.0801444,186.9637897,135.4663282,132.980794,74.22734647,133.5880907,193.485377,151.2821807,109.8211089,76.89944976,72.05685114,6451.157278
2019-01-04,58.46208536,35.33035599,20.9839333,17.45392447,18.20563585,8.090160381,15.96810492,38.37241394,7.696059947,1.650736442,7.707069133,6.666156291,52.18134139,37.56251547,62.07100446,128.6183962,161.6823063,181.1044482,175.0013522,138.8085242,137.4673432,116.9617799,200.5061846,208.7375549,1837.289387
2019-01-05,246.9430275,313.9932952,397.5246027,403.3471975,418.3707941,396.3445831,390.1672371,395.8465309,427.4749495,377.6459033,364.7433122,353.9569875,401.8958217,460.9499671,533.2523824,487.303554,465.2751854,369.9021359,371.8582184,470.9506934,468.2550677,514.3662681,457.9459995,393.0638697,9881.377584
2019-01-06,414.5688208,530.2299219,582.3600061,545.9225702,469.3214972,449.2401024,496.3844171,499.20279,503.8003631,449.9969854,418.6112168,482.4955535,528.9637081,494.7171669,533.2942161,534.8178899,530.113584,488.696095,470.4031453,465.748998,442.7806028,336.1943398,348.4246594,280.6665234,11296.95517
2019-01-07,242.7970217,260.0375229,289.8243388,321.1056504,350.9885077,336.1592907,333.0725847,357.0283992,351.3428867,368.2129551,396.0652409,408.6029674,389.7974096,304.6892343,329.9330389,336.3033089,413.913526,360.4740658,403.6248844,409.9901794,372.0558875,363.3570141,367.3868091,367.1071704,8433.869894
2019-01-08,362.0991979,343.1810244,463.1944249,549.1025274,580.3403227,570.0192375,545.9436383,474.9851185,414.5117867,421.5453254,507.3183641,506.9905276,444.5766799,531.9271584,593.7621916,605.1635419,537.7691206,627.5198801,661.9060153,661.4116853,637.2723914,592.8860171,535.6533111,508.7332655,12677.81275
2019-01-09,559.9337301,598.9937643,643.3080644,667.7781635,660.0611383,590.5185971,474.8385492,373.4570561,342.6224307,188.1506877,150.5553626,94.98035921,73.05720733,82.36259368,54.58772624,30.57570981,13.39433988,12.95031075,46.07434465,64.27176749,55.48318951,20.64961475,13.95801144,12.3926431,5824.955362
2019-01-10,8.110762509,11.77446729,27.48673421,75.03548069,90.6808724,107.791772,106.1591109,91.79006156,189.350217,270.2981574,294.8554584,351.6405887,414.2361606,412.2839909,450.4937364,377.6410554,316.8584072,364.9021011,426.909193,392.1336419,304.8326079,229.8303091,266.7612822,166.9267644,5748.782933
