,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019-01-01,8.93544,5.475148,0.518472,0.180008,0.055592,0.0036,4.00E-05,2.369149,86.145399,317.608958,527.767732,644.271997,685.988124,638.210988,523.931264,336.543939,134.648857,79.546735,225.958189,206.256264,116.928168,43.317299,16.615281,2.14992
2019-01-02,0.51778,0.66458,0.2002,0,4.00E-05,0,0.001056,1.974207,125.419452,545.508709,861.284591,1066.81252,1140.519412,1080.821591,987.009645,674.033684,240.984304,95.013518,262.672389,321.606694,254.505816,122.43137,47.195128,14.775071
2019-01-03,5.395696,1.602084,0.778556,0.110148,0.00996,0.0018,4.00E-05,2.341338,172.573945,722.428691,994.100772,1207.891206,1293.750792,1280.962146,1202.077466,857.741728,299.645675,100.325744,277.36287,338.442751,307.619605,185.468107,76.453814,27.276359
2019-01-04,11.93354,5.962764,0.361544,0.179928,0.08796,0.007176,0,2.902851,143.441682,479.579008,540.006745,540.021001,451.142633,466.689468,436.070632,263.358033,103.357355,78.540939,183.118781,136.664614,70.640458,27.490172,11.113386,1.09522
2019-01-05,0.13324,0.07942,0,0,0.00012,0.000384,0,0.546986,90.38581,418.657606,689.920931,912.661335,1054.773551,1121.748227,1045.520637,741.328154,303.797399,106.984359,282.339891,340.390114,284.010947,149.984371,55.881186,18.878412
2019-01-06,10.749416,4.156316,0.306456,0.138852,0.0072,0.00048,8.00E-05,1.211993,115.664971,476.765774,836.724701,1172.110917,1266.131847,1254.751177,1192.106767,873.437965,315.270456,103.763665,278.933502,336.830677,304.587346,184.335019,76.912966,27.14328
2019-01-07,10.449912,6.021156,0.88016,0.70912,0.262984,0.00328,4.00E-05,3.43477,147.350272,588.450772,818.217183,1020.667108,1089.777216,1047.901549,895.237662,556.696496,218.655073,101.624773,281.591193,338.766507,288.940773,170.603492,70.494494,24.436407
2019-01-08,8.233636,4.60828,0.082044,0.008592,0.0018,0.001192,0,1.165079,116.652013,533.368194,820.488593,1034.45707,1077.695976,1042.969166,929.07316,641.962242,265.712432,105.532368,275.685646,314.521807,241.03042,122.334974,53.679488,14.296432
2019-01-09,6.559628,1.642288,0.14776,0.046688,0.00972,0.00256,0.002,2.679096,168.243651,627.306589,842.012996,960.581814,866.440446,672.734327,596.223633,462.076325,246.997105,111.843584,271.065093,301.648644,188.364907,85.558311,27.843467,9.843464
2019-01-10,2.803128,0.6953,0.25004,0.179568,0.168,0.18,0.180808,1.139881,78.875001,355.939523,583.224621,816.108429,860.782183,771.187602,590.245627,375.219969,157.058286,91.832417,230.375958,258.33346,199.892641,117.510155,39.258464,9.690769
2019-01-11,4.01176,0.86736,0.003832,0.005664,0,0.00012,0,1.50152,99.807676,472.885962,752.086615,985.651886,1050.451411,1051.78557,898.734936,557.15665,220.232347,106.535387,274.280753,333.364657,282.063713,160.690874,66.100991,21.52537
2019-01-12,8.563072,1.634472,0.37872,0.04684,0.02568,0.008,4.00E-05,0.165009,35.41517,211.051109,397.978544,599.252857,717.369779,722.46906,634.71755,428.911184,210.368906,102.568537,242.462531,251.64419,194.919283,115.148709,42.838836,12.991239
2019-01-13,5.828208,4.70788,0.30764,0.2116,0.1904,0.17232,0.0846,1.438343,116.676941,517.583654,756.967471,1000.201837,1118.968565,1115.738385,1005.851839,735.494642,312.376442,121.8257,282.120095,339.23025,295.492449,174.362512,67.749454,20.852432
2019-01-14,10.671764,5.710528,0.578912,0.09738,0.04576,0.0072,0,1.966356,119.326792,470.760065,660.091468,858.993755,926.875827,878.811709,730.297946,465.446384,232.029799,117.525283,269.418324,298.392865,239.380117,134.55268,54.007575,14.263321
