,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019-01-01,460.559669,452.662238,445.951315,457.109465,556.46428,529.770971,510.397158,490.742693,499.789637,452.907248,454.38582,601.991365,644.261947,635.388299,691.603187,706.293091,744.9353,754.572843,752.329359,747.930267,758.733766,731.438606,697.64935,649.484451
2019-01-02,620.921784,575.207574,577.681992,471.25193,448.773496,442.46405,432.359626,444.282199,419.884374,432.079732,432.450883,439.977981,418.118939,363.483412,316.923496,336.977135,369.240245,417.940597,457.076768,505.560859,490.455335,494.612934,493.231441,524.891496
2019-01-03,515.439998,507.356784,476.993884,447.302873,426.450302,414.476666,375.824358,366.306741,317.081455,274.384159,232.405823,196.845677,152.150138,143.439025,131.038127,176.418306,153.753528,157.058971,140.931049,173.714829,284.592817,317.409929,306.387381,305.385257
2019-01-04,304.39655,319.468297,312.226267,302.212243,253.220236,261.495764,284.087417,219.929791,206.74351,215.901355,154.302894,135.71506,152.55994,244.764407,347.694121,402.1661,423.617929,435.10754,459.410121,461.210885,458.260103,479.735392,460.502337,492.864875
2019-01-05,494.023944,479.272223,477.806464,484.95227,482.725588,431.4999,487.594848,535.580617,500.69177,465.769294,460.025291,416.579637,396.29483,367.317465,314.343184,299.744094,261.607905,228.191568,236.821583,177.066107,135.991261,159.752251,156.070417,135.007482
2019-01-06,142.747873,120.281829,110.693225,94.852176,59.022935,63.424663,61.946325,53.144496,55.351429,97.907159,90.472216,63.314046,46.269083,58.651126,70.270622,96.040716,109.490726,132.215803,173.436525,203.512027,250.535881,242.065678,236.34825,304.81051
2019-01-07,327.513831,319.310696,359.892906,391.810727,427.212933,445.943541,415.433043,422.841698,416.547365,454.099926,388.247502,374.398339,340.187423,313.957969,318.43077,386.966967,418.782497,428.967702,439.888992,418.910991,433.767239,409.432036,405.742917,444.275572
2019-01-08,466.167587,475.084781,471.846089,455.568951,454.476206,480.393504,476.219323,454.785258,441.344448,433.713887,406.545201,467.815616,529.426658,649.95883,659.474805,743.065164,774.977665,792.646689,779.396093,791.389522,726.044076,654.052136,538.621076,482.22192
2019-01-09,413.121468,393.000844,351.788308,249.36377,195.886887,190.299476,147.431491,122.256357,104.245427,128.028029,94.091077,92.82382,70.466311,99.51476,139.452675,186.248633,234.014013,286.576321,323.088954,316.065108,328.67413,343.864125,406.416058,438.721936
2019-01-10,469.037805,497.131999,486.019898,515.382521,516.087455,463.75748,452.045221,418.25169,413.94394,441.753208,436.175763,467.412717,483.198071,472.393552,496.367738,515.722848,555.374769,543.047036,528.382265,528.590832,532.303572,470.245882,401.422421,353.541938
