,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
r2_train,0.857568467,0.862916856,0.870782568,0.871867701,0.859202768,0.863904929,0.864171724,0.864537547,0.858812375,0.841248192,0.882698866,0.857331291,0.854811401,0.863640207,0.869372759,0.867754063,0.869069962,0.872289925,0.867616783,0.877078712,0.866633933,0.873551502,0.863700827,0.874550207,0.871612496,0.863290055,0.868671597,0.861085147,0.846008583,0.853454424,0.857473727,0.872897027,0.855651902,0.85945881,0.872243898,0.871595258,0.872639325,0.859915471,0.87398245,0.865798332,0.871262714,0.870678212,0.878916162,0.870519593,0.868597258,0.889031677,0.851156628,0.878893461,0.874155666,0.871363063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r2_test,0.851347304,0.866348278,0.879456591,0.841564174,0.884267301,0.886701977,0.862369672,0.876643114,0.846377882,0.844894278,0.850796853,0.884002047,0.842913951,0.857641035,0.870164841,0.862149507,0.866759654,0.877582176,0.881584426,0.874631779,0.873816696,0.823892955,0.87869079,0.844300641,0.833616264,0.872038516,0.866607407,0.860063026,0.856528274,0.869586588,0.884108374,0.86209361,0.861660851,0.845841172,0.87250145,0.905884646,0.857139114,0.867645661,0.857954901,0.860549644,0.886729681,0.862637294,0.856042445,0.868813587,0.874233775,0.851901657,0.843263629,0.873451132,0.870896691,0.848908807
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmse_train,859.5005648,808.8024998,799.1995054,774.9758644,821.4471278,800.0548639,824.6606689,811.3193756,818.2286295,816.3683836,754.6602211,851.1879433,807.0933947,831.8889028,769.7855251,765.2154516,798.4533873,749.9389403,801.8952106,802.2743981,797.8417538,767.1323429,804.7721575,786.1316998,819.3239048,803.9318979,771.6962231,790.1481756,884.6553058,805.4883892,827.5572006,818.9596533,847.0227049,771.9196619,777.4132345,783.4221905,801.3927153,844.7774579,699.5567741,798.5974119,758.0131234,794.3709578,767.1286089,798.9854694,819.5491985,754.050717,875.4962451,711.3728608,776.8598461,806.2521111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmse_test,825.3373342,718.2489696,778.5689409,951.6237504,876.5155034,748.2554487,721.5856485,855.1567857,1029.701854,949.9376807,734.9034439,777.147254,990.8313924,731.0476577,831.3515028,723.9174135,748.0147791,753.5520002,756.3762598,882.2455516,709.9556729,951.2282533,831.1169934,787.9986949,781.0008779,821.2732049,800.4862882,871.7796113,716.1022671,742.3127593,744.6875436,734.3416653,928.072547,810.7939747,794.198771,818.576453,910.6477533,861.5760535,784.9623571,788.8745372,744.1977768,813.7698661,871.3811376,873.7652598,820.6257447,795.4648017,838.2495893,792.4213061,884.2449789,861.6832277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mae_train,446.701235,423.6598346,429.518246,408.8255556,432.5289642,412.8388282,455.6238782,438.546461,457.9579533,435.5052847,451.324232,432.4184029,429.8442829,432.2759469,422.9284337,399.1028091,429.7290347,408.0059835,412.937915,416.8316026,422.7664892,413.5497667,438.7192505,439.2203298,477.9693168,449.7519432,401.4452939,435.6805404,492.7765362,417.3004953,450.9138773,435.6633298,470.235072,423.0770726,395.1804987,413.9546392,424.4061619,498.0205546,372.1619887,409.2389455,398.866184,429.2737572,417.8562756,458.5297316,442.2192699,405.4609253,445.2398843,389.5621644,429.7091894,420.6182531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mae_test,417.5016152,383.8938515,438.9597002,489.1609069,465.8121653,425.4188673,409.9042841,476.913142,552.9449622,490.9817586,434.1769881,410.450206,498.819596,389.1423293,442.4605477,393.9272899,424.7331872,414.1634697,408.8533532,444.229647,396.5582171,486.0600844,460.8299381,443.749176,473.0146578,441.0014268,407.8964426,479.6097031,460.2314151,398.4254644,416.4779226,400.9329743,548.6453045,424.3819243,416.9428123,458.3155792,455.3782249,530.6169883,404.5688047,394.9074628,423.881407,409.9455975,475.3185005,520.7145629,416.7652858,429.2593193,427.0724536,392.6944723,472.5124307,435.8948528
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mape_train,16.68955437,16.07202991,16.17994261,15.45556761,17.33754681,15.10451178,18.85467196,16.65048913,16.55371578,20.80265726,19.39990546,16.40834636,15.82058139,18.28343288,15.89581942,14.31489502,17.29889209,14.77196146,16.09818241,16.80418614,14.70263464,14.80460206,17.63491107,16.83858885,19.12271112,16.90352732,15.32897458,16.11336989,19.59840552,14.62289213,17.77116243,16.24543171,17.95784876,15.0919676,14.20718058,14.93576195,16.62112321,22.16716446,14.73979866,15.85086585,16.01295892,15.11058475,14.91210135,17.47185108,16.97937546,16.42255266,14.12001965,16.84836924,16.95328968,15.3433792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mape_test,15.37734396,14.51416341,16.72072824,19.4935197,20.53159871,12.85668647,13.50268711,15.11761122,15.50229802,15.01042517,18.22833864,14.42475056,16.47433333,16.99080112,16.4951343,14.97676471,21.5903231,14.31511204,16.95170908,15.54057151,15.63106162,19.33303921,20.22044954,15.79029942,19.70529013,14.34320117,15.69210301,17.17440677,24.91949782,12.84022835,14.32584903,16.93458789,18.63090709,13.10551048,15.26580998,18.28821607,18.61149804,19.46130944,17.30646598,13.35933938,19.10423126,13.61937752,19.27734811,25.45195003,14.57557285,14.28571348,14.58264097,13.87364489,14.9495835,15.22436976
